"","code","articles","study_num"
"117",86,"Singh, L., Fu, C. S. L., Rahman, A. A., Hameed, W. B., Sanmugam, S., Agarwal, P., … Rifkin-Graboi, A. (2015)","1"
"118",87,"Singh, L., Hui, T. J., Chan, C., & Golinkoff, R. M. (2014)","2a"
"119",87,"Singh, L., Hui, T. J., Chan, C., & Golinkoff, R. M. (2014)","2b"
"120",88,"Singh, L. (2014)","1"
"121",89,"Singh, L., & Foong, J. (2012)","1"
"122",89,"Singh, L., & Foong, J. (2012)","2"
"123",90,"Henderson, A. M. E., & Scott, J. C. (2015)","1"
"124",91,"Pitts, C. E., Onishi, K. H., & Vouloumanos, A. (2015)","1"
"125",92,"Fennell, C., & Byers-Heinlein, K. (2014)","1"
"126",93,"Kuipers, J. R., & Thierry, G. (2015)","1"
"127",94,"Kuipers, J. R., & Thierry, G. (2012)","1"
"128",95,"Kuipers, J. R., & Thierry, G. (2013)","1"
"129",96,"Junker, D. A., & Stockman, I. J. (2002)","1"
"130",97,"Conboy, B. T., & Mills, D. L. (2006)","1"
"131",98,"Vagh, S. B., Pan, B. A., & Mancilla-Martinez, J. (2009)","1"
"132",99,"Shafer, V. L., Yu, Y. H., & Datta, H. (2011)","1"
"133",100,"Petitto, L. A., Berens, M. S., Kovelman, I., Dubins, M. H., Jasinska, K., & Shalinsky, M. (2012)","1"
"134",101,"Hurtado, N., Grüter, T., Marchman, V. A., & Fernald, A. (2014)","1"
"135",102,"Schonberg, C., Sandhofer, C. M., Tsang, T., & Johnson, S. P. (2014)","1A"
"136",102,"Schonberg, C., Sandhofer, C. M., Tsang, T., & Johnson, S. P. (2014)","1B"
"137",102,"Schonberg, C., Sandhofer, C. M., Tsang, T., & Johnson, S. P. (2014)","2"
"138",102,"Schonberg, C., Sandhofer, C. M., Tsang, T., & Johnson, S. P. (2014)","3"
"139",103,"Fort, M., Ayneto-Gimeno, A., Escrichs, A., & Sebastian-Galles, N. (2018)","1"
"140",103,"Fort, M., Ayneto-Gimeno, A., Escrichs, A., & Sebastian-Galles, N. (2018)","2"
"141",104,"Kimbrough, O. D., Eilers, R. E., Urbano, R., & Cobo-Lewis, A. B. (1997)","1"
"142",105,"Pearson, B. Z., Fernandez, S. C., Lewedeg, V., & Oller, D. K. (1997)","1"
"143",106,"Pearson, B. Z., Fernandez, S., & Oller, D. K. (1995)","1"
"144",107,"Pearson, B. Z., Fernández, S. C., & Oller, D. K. (1993)","1"
"145",108,"Cattani, A., Abbot-Smith, K., Farag, R., Krott, A., Arreckx, F., Dennis, I., & Floccia, C. (2014)","1"
"146",109,"Cote, L. R., & Bornstein, M. H. (2014)","1"
"147",110,"Patterson, J. L. (2002)","1"
"148",111,"Byers-Heinlein, K., Morin-Lessard, E., & Lew-Williams, C. (2017)","1"
"149",111,"Byers-Heinlein, K., Morin-Lessard, E., & Lew-Williams, C. (2017)","3"
"150",112,"Goh, S. K. Y., Tham, E. K. H., Magiati, I., Litwee, S., Sanmugam, S., Qiu, A., … Rifkin-Graboi, A. (2017)","1"
"151",113,"Gatt, D. (2017)","1"
"152",114,"DeAnda, S., Bosch, L., Poulin-Dubois, D., Zesiger, P., & Friend, M. (2016)","1"
"153",115,"Bosch, L., Figueras, M., Teixidó, M., & Ramon-Casas, M. (2013)","1"
"154",115,"Bosch, L., Figueras, M., Teixidó, M., & Ramon-Casas, M. (2013)","2"
"155",116,"Silvén, M., Voeten, M., Kouvo, A., & Lundén, M. (2014)","1"
"156",117,"Xuan, L., & Dollaghan, C. (2013)","1"
"157",118,"Conboy, B. T., & Thal, D. J. (2006)","1"
"158",119,"Marchman, V. A., Martínez-Sussmann, C., & Dale, P. S. (2004)","1"
"159",120,"Patterson, J. L. (1999)","1"
"160",121,"Larraza, S., Molnar, M., & Samuel, A. G. (2020)","1"
"161",122,"Orena, A. J., Byers-Heinlein, K., & Polka, L. (2019)","1"
"162",123,"Augier, M., & Gratier, M. (2019)","1"
"163",124,"Cantle Moore, R., & Colyvas, K. (2018)","1"
"164",125,"Sundara, M., Ward, N., Conboy, B., & Kuhl, P. K. (2020)","1"
"165",125,"Sundara, M., Ward, N., Conboy, B., & Kuhl, P. K. (2020)","1,2,3"
"166",126,"Carbajal, M. J., & Peperkamp, S. (2020)","1"
"167",127,"Orena, A. J., Byers-Heinlein, K., & Polka, L. (2020)","1"
